episode|worker_id|eplen|score|ts
0|1|11|11.0|2024-05-14 11:09:33.519873
1|0|47|47.0|2024-05-14 11:09:34.260793
2|1|38|38.0|2024-05-14 11:09:34.302403
3|0|16|16.0|2024-05-14 11:09:34.592257
4|1|19|19.0|2024-05-14 11:09:34.693353
5|1|10|10.0|2024-05-14 11:09:34.900437
6|1|12|12.0|2024-05-14 11:09:35.141329
7|0|34|34.0|2024-05-14 11:09:35.286460
8|1|16|16.0|2024-05-14 11:09:35.464044
9|0|16|16.0|2024-05-14 11:09:35.598332
10|0|18|18.0|2024-05-14 11:09:35.958162
11|1|49|49.0|2024-05-14 11:09:36.430183
12|0|26|26.0|2024-05-14 11:09:36.470211
13|1|33|33.0|2024-05-14 11:09:37.076132
14|0|35|35.0|2024-05-14 11:09:37.156552
15|1|14|14.0|2024-05-14 11:09:37.355795
16|0|21|21.0|2024-05-14 11:09:37.570274
17|1|14|14.0|2024-05-14 11:09:37.628802
18|0|29|29.0|2024-05-14 11:09:38.138791
19|1|43|43.0|2024-05-14 11:10:04.383921
20|0|25|25.0|2024-05-14 11:10:04.540485
21|1|15|15.0|2024-05-14 11:10:04.679163
22|1|17|17.0|2024-05-14 11:10:04.998456
23|1|15|15.0|2024-05-14 11:10:05.285526
24|0|49|49.0|2024-05-14 11:10:05.499452
25|1|31|31.0|2024-05-14 11:10:05.934220
26|0|24|24.0|2024-05-14 11:10:06.003576
27|1|10|10.0|2024-05-14 11:10:06.153811
28|0|10|10.0|2024-05-14 11:10:06.215351
29|0|11|11.0|2024-05-14 11:10:06.440067
30|0|23|23.0|2024-05-14 11:10:06.886202
31|1|39|39.0|2024-05-14 11:10:06.925346
32|1|9|9.0|2024-05-14 11:10:07.097570
33|0|36|36.0|2024-05-14 11:10:07.572200
34|1|27|27.0|2024-05-14 11:10:07.612742
35|0|12|12.0|2024-05-14 11:10:07.803846
36|0|15|15.0|2024-05-14 11:10:08.090310
37|1|25|25.0|2024-05-14 11:10:08.090977
38|0|34|34.0|2024-05-14 11:10:08.746228
39|1|36|36.0|2024-05-14 11:10:08.784915
40|1|12|12.0|2024-05-14 11:10:09.012933
41|1|13|13.0|2024-05-14 11:10:34.780503
42|0|42|42.0|2024-05-14 11:10:35.070895
43|1|31|31.0|2024-05-14 11:10:35.381879
44|0|23|23.0|2024-05-14 11:10:35.516101
45|0|28|28.0|2024-05-14 11:10:36.049595
46|1|38|38.0|2024-05-14 11:10:36.113589
47|1|13|13.0|2024-05-14 11:10:36.371518
48|1|14|14.0|2024-05-14 11:10:36.655009
49|0|50|50.0|2024-05-14 11:10:37.059617
50|1|28|28.0|2024-05-14 11:10:37.223457
51|0|19|19.0|2024-05-14 11:10:37.439201
52|1|21|21.0|2024-05-14 11:10:37.636255
53|0|22|22.0|2024-05-14 11:10:37.884294
54|1|18|18.0|2024-05-14 11:10:38.004576
55|0|12|12.0|2024-05-14 11:10:38.115147
56|0|16|16.0|2024-05-14 11:10:38.429901
57|0|11|11.0|2024-05-14 11:10:38.641026
58|0|12|12.0|2024-05-14 11:10:38.878035
59|1|62|62.0|2024-05-14 11:10:39.205572
60|0|22|22.0|2024-05-14 11:10:39.300929
61|1|12|12.0|2024-05-14 11:10:39.440623
62|0|12|12.0|2024-05-14 11:10:39.541449
63|0|12|12.0|2024-05-14 11:11:05.320817
64|1|33|33.0|2024-05-14 11:11:05.628578
65|1|11|11.0|2024-05-14 11:11:05.862895
66|0|37|37.0|2024-05-14 11:11:06.073315
67|1|12|12.0|2024-05-14 11:11:06.112781
68|1|12|12.0|2024-05-14 11:11:06.364398
69|1|15|15.0|2024-05-14 11:11:06.673642
70|0|33|33.0|2024-05-14 11:11:06.756479
71|1|21|21.0|2024-05-14 11:11:07.119541
72|0|23|23.0|2024-05-14 11:11:07.247067
73|1|14|14.0|2024-05-14 11:11:07.411123
74|1|13|13.0|2024-05-14 11:11:07.674487
75|0|43|43.0|2024-05-14 11:11:08.100560
76|1|25|25.0|2024-05-14 11:11:08.159275
77|0|21|21.0|2024-05-14 11:11:08.500411
78|1|31|31.0|2024-05-14 11:11:08.753283
79|1|37|37.0|2024-05-14 11:11:09.483619
80|0|53|53.0|2024-05-14 11:11:09.556709
81|1|17|17.0|2024-05-14 11:11:09.843185
82|0|22|22.0|2024-05-14 11:11:10.002294
83|1|9|9.0|2024-05-14 11:11:10.023440
84|0|12|12.0|2024-05-14 11:11:35.949531
85|1|17|17.0|2024-05-14 11:11:36.065806
86|0|17|17.0|2024-05-14 11:11:36.285822
87|1|13|13.0|2024-05-14 11:11:36.323835
88|1|24|24.0|2024-05-14 11:11:36.776809
89|1|13|13.0|2024-05-14 11:11:37.020254
90|1|13|13.0|2024-05-14 11:11:37.267414
91|0|68|68.0|2024-05-14 11:11:37.576928
92|1|31|31.0|2024-05-14 11:11:37.868889
93|1|12|12.0|2024-05-14 11:11:38.101543
94|0|30|30.0|2024-05-14 11:11:38.159849
95|1|27|27.0|2024-05-14 11:11:38.617050
96|0|37|37.0|2024-05-14 11:11:38.863522
97|1|21|21.0|2024-05-14 11:11:39.022968
98|0|9|9.0|2024-05-14 11:11:39.043712
99|1|11|11.0|2024-05-14 11:11:39.237062
100|0|12|12.0|2024-05-14 11:11:39.363928
101|0|14|14.0|2024-05-14 11:11:39.633725
102|0|20|20.0|2024-05-14 11:11:40.006235
103|0|19|19.0|2024-05-14 11:11:40.369361
104|1|58|58.0|2024-05-14 11:11:40.427991
105|0|16|16.0|2024-05-14 11:11:40.684114
106|1|15|15.0|2024-05-14 11:11:40.725093
107|0|26|26.0|2024-05-14 11:12:07.044073
108|1|32|32.0|2024-05-14 11:12:07.196744
109|0|36|36.0|2024-05-14 11:12:07.719175
110|1|50|50.0|2024-05-14 11:12:08.123602
111|0|25|25.0|2024-05-14 11:12:08.184444
112|1|9|9.0|2024-05-14 11:12:08.297772
113|0|23|23.0|2024-05-14 11:12:08.611672
114|0|13|13.0|2024-05-14 11:12:08.854202
115|0|26|26.0|2024-05-14 11:12:09.337860
116|1|59|59.0|2024-05-14 11:12:09.396651
117|0|21|21.0|2024-05-14 11:12:09.729818
118|1|21|21.0|2024-05-14 11:12:09.786158
119|0|19|19.0|2024-05-14 11:12:10.088760
120|1|22|22.0|2024-05-14 11:12:10.201335
121|1|11|11.0|2024-05-14 11:12:10.407388
122|1|16|16.0|2024-05-14 11:12:10.705893
123|0|43|43.0|2024-05-14 11:12:10.889353
124|1|22|22.0|2024-05-14 11:12:11.112925
125|0|24|24.0|2024-05-14 11:12:37.222678
126|1|18|18.0|2024-05-14 11:12:37.334313
127|0|19|19.0|2024-05-14 11:12:37.577314
128|1|14|14.0|2024-05-14 11:12:37.596492
129|1|15|15.0|2024-05-14 11:12:37.880106
130|0|28|28.0|2024-05-14 11:12:38.108223
131|0|19|19.0|2024-05-14 11:12:38.465504
132|1|42|42.0|2024-05-14 11:12:38.670741
133|1|13|13.0|2024-05-14 11:12:38.920595
134|0|33|33.0|2024-05-14 11:12:39.087009
135|1|21|21.0|2024-05-14 11:12:39.313415
136|0|24|24.0|2024-05-14 11:12:39.552959
137|1|26|26.0|2024-05-14 11:12:39.811544
138|0|25|25.0|2024-05-14 11:12:40.017049
139|1|22|22.0|2024-05-14 11:12:40.220284
140|0|22|22.0|2024-05-14 11:12:40.422190
141|1|16|16.0|2024-05-14 11:12:40.515846
142|0|14|14.0|2024-05-14 11:12:40.689585
143|0|18|18.0|2024-05-14 11:12:41.040149
144|0|14|14.0|2024-05-14 11:12:41.311603
145|1|52|52.0|2024-05-14 11:12:41.524470
146|0|17|17.0|2024-05-14 11:12:41.639801
147|1|16|16.0|2024-05-14 11:12:41.827271
148|0|12|12.0|2024-05-14 11:12:41.865428
149|1|13|13.0|2024-05-14 11:13:07.830509
150|0|28|28.0|2024-05-14 11:13:08.147237
151|1|30|30.0|2024-05-14 11:13:08.386746
152|0|20|20.0|2024-05-14 11:13:08.520879
153|0|16|16.0|2024-05-14 11:13:08.847975
154|0|19|19.0|2024-05-14 11:13:09.241435
155|1|45|45.0|2024-05-14 11:13:09.305951
156|0|24|24.0|2024-05-14 11:13:09.729578
157|1|30|30.0|2024-05-14 11:13:09.913139
158|0|19|19.0|2024-05-14 11:13:10.118778
159|1|18|18.0|2024-05-14 11:13:10.289607
160|0|34|34.0|2024-05-14 11:13:10.783773
161|0|13|13.0|2024-05-14 11:13:11.022895
162|1|40|40.0|2024-05-14 11:13:11.041948
163|0|14|14.0|2024-05-14 11:13:11.278294
164|1|14|14.0|2024-05-14 11:13:11.297538
165|1|16|16.0|2024-05-14 11:13:11.595255
166|0|31|31.0|2024-05-14 11:13:11.857007
167|1|19|19.0|2024-05-14 11:13:11.949231
168|1|27|27.0|2024-05-14 11:13:12.441700
169|1|21|21.0|2024-05-14 11:13:38.752320
170|0|57|57.0|2024-05-14 11:13:38.828455
171|1|11|11.0|2024-05-14 11:13:38.959347
172|0|17|17.0|2024-05-14 11:13:39.149897
173|1|16|16.0|2024-05-14 11:13:39.262184
174|1|11|11.0|2024-05-14 11:13:39.472783
175|0|20|20.0|2024-05-14 11:13:39.531476
176|1|11|11.0|2024-05-14 11:13:39.686656
177|1|15|15.0|2024-05-14 11:13:39.961896
178|0|26|26.0|2024-05-14 11:13:40.016770
179|1|15|15.0|2024-05-14 11:13:40.238343
180|0|27|27.0|2024-05-14 11:13:40.518423
181|0|14|14.0|2024-05-14 11:13:40.771788
182|1|32|32.0|2024-05-14 11:13:40.827753
183|0|15|15.0|2024-05-14 11:13:41.045446
184|0|11|11.0|2024-05-14 11:13:41.245281
185|0|24|24.0|2024-05-14 11:13:41.679914
186|0|15|15.0|2024-05-14 11:13:41.955637
187|1|68|68.0|2024-05-14 11:13:42.065346
188|0|15|15.0|2024-05-14 11:13:42.233354
189|0|14|14.0|2024-05-14 11:13:42.490975
190|1|30|30.0|2024-05-14 11:13:42.619683
191|0|10|10.0|2024-05-14 11:13:42.675692
192|1|18|18.0|2024-05-14 11:13:42.948910
193|1|13|13.0|2024-05-14 11:14:08.903608
