episode|worker_id|eplen|score|ts
0|1|10|10.0|2024-03-16 11:45:30.899092
1|1|13|13.0|2024-03-16 11:45:32.855118
2|0|25|25.0|2024-03-16 11:45:33.130297
3|0|10|10.0|2024-03-16 11:45:34.754353
4|1|20|20.0|2024-03-16 11:45:36.098327
5|0|13|13.0|2024-03-16 11:45:36.827900
6|1|13|13.0|2024-03-16 11:45:37.928266
7|1|19|19.0|2024-03-16 11:45:40.635699
8|0|32|32.0|2024-03-16 11:45:41.420771
9|0|19|19.0|2024-03-16 11:45:44.006788
10|1|31|31.0|2024-03-16 11:45:45.011279
11|0|10|10.0|2024-03-16 11:45:45.453392
12|1|12|12.0|2024-03-16 11:45:46.804112
13|0|13|13.0|2024-03-16 11:45:47.338953
14|0|13|13.0|2024-03-16 11:45:49.052538
15|0|15|15.0|2024-03-16 11:45:50.833725
16|1|43|43.0|2024-03-16 11:45:52.195221
17|1|10|10.0|2024-03-16 11:45:53.354405
18|1|13|13.0|2024-03-16 11:45:54.973356
19|0|35|35.0|2024-03-16 11:45:55.113239
20|0|11|11.0|2024-03-16 11:45:56.673591
21|1|12|12.0|2024-03-16 11:45:56.675900
22|1|9|9.0|2024-03-16 11:45:57.816391
23|0|22|22.0|2024-03-16 11:45:59.566149
24|1|26|26.0|2024-03-16 11:46:01.530785
25|0|21|21.0|2024-03-16 11:46:02.708256
26|1|14|14.0|2024-03-16 11:46:03.648999
27|0|22|22.0|2024-03-16 11:46:05.979600
28|1|16|16.0|2024-03-16 11:46:05.982148
29|0|19|19.0|2024-03-16 11:46:08.740645
30|1|70|70.0|2024-03-16 11:46:15.465499
31|1|12|12.0|2024-03-16 11:46:17.234851
32|0|73|73.0|2024-03-16 11:46:18.736629
33|1|22|22.0|2024-03-16 11:46:20.437982
34|0|15|15.0|2024-03-16 11:46:20.844222
35|0|21|21.0|2024-03-16 11:46:23.766505
36|1|32|32.0|2024-03-16 11:46:24.985737
37|1|17|17.0|2024-03-16 11:46:27.628213
38|0|26|26.0|2024-03-16 11:46:27.794432
39|0|17|17.0|2024-03-16 11:46:30.383456
40|1|34|34.0|2024-03-16 11:46:32.506123
41|1|13|13.0|2024-03-16 11:46:34.232549
42|0|34|34.0|2024-03-16 11:46:34.947345
43|0|17|17.0|2024-03-16 11:46:37.542070
44|1|28|28.0|2024-03-16 11:46:38.347065
45|0|14|14.0|2024-03-16 11:46:39.439155
46|1|23|23.0|2024-03-16 11:46:41.364581
47|0|18|18.0|2024-03-16 11:46:41.751469
48|1|11|11.0|2024-03-16 11:46:42.757006
49|1|11|11.0|2024-03-16 11:46:44.262360
50|1|14|14.0|2024-03-16 11:46:46.253603
51|1|16|16.0|2024-03-16 11:46:48.260060
52|0|53|53.0|2024-03-16 11:46:48.763694
53|1|24|24.0|2024-03-16 11:46:51.690788
54|0|21|21.0|2024-03-16 11:46:51.851385
55|1|16|16.0|2024-03-16 11:46:53.812811
56|0|26|26.0|2024-03-16 11:46:55.304752
57|0|14|14.0|2024-03-16 11:46:57.239887
58|1|25|25.0|2024-03-16 11:46:57.241158
59|0|13|13.0|2024-03-16 11:46:58.966562
60|1|39|39.0|2024-03-16 11:47:02.576555
61|0|35|35.0|2024-03-16 11:47:03.940823
62|1|18|18.0|2024-03-16 11:47:05.176981
63|0|13|13.0|2024-03-16 11:47:05.779919
64|1|19|19.0|2024-03-16 11:47:07.933489
65|0|23|23.0|2024-03-16 11:47:09.157806
66|1|17|17.0|2024-03-16 11:47:10.507979
67|0|20|20.0|2024-03-16 11:47:12.194540
68|1|25|25.0|2024-03-16 11:47:14.277348
69|0|17|17.0|2024-03-16 11:47:14.733096
70|1|24|24.0|2024-03-16 11:47:17.563456
71|0|24|24.0|2024-03-16 11:47:17.947354
72|1|9|9.0|2024-03-16 11:47:18.792057
73|0|8|8.0|2024-03-16 11:47:19.068120
74|0|9|9.0|2024-03-16 11:47:20.293267
75|1|20|20.0|2024-03-16 11:47:21.616663
76|0|18|18.0|2024-03-16 11:47:22.913089
77|1|25|25.0|2024-03-16 11:47:25.169030
78|0|26|26.0|2024-03-16 11:47:26.516934
79|1|10|10.0|2024-03-16 11:47:26.519156
80|1|12|12.0|2024-03-16 11:47:28.057328
81|1|16|16.0|2024-03-16 11:47:30.462114
82|1|11|11.0|2024-03-16 11:47:31.966769
83|0|41|41.0|2024-03-16 11:47:32.217554
84|1|9|9.0|2024-03-16 11:47:33.098651
85|0|12|12.0|2024-03-16 11:47:33.716733
86|1|37|37.0|2024-03-16 11:47:37.774864
87|0|43|43.0|2024-03-16 11:47:39.100314
88|1|18|18.0|2024-03-16 11:47:39.949646
89|0|14|14.0|2024-03-16 11:47:40.833675
90|0|18|18.0|2024-03-16 11:47:42.963996
91|1|37|37.0|2024-03-16 11:47:44.377565
92|0|22|22.0|2024-03-16 11:47:45.594052
93|1|23|23.0|2024-03-16 12:51:13.336545
94|1|23|23.0|2024-03-16 12:51:16.611730
95|1|20|20.0|2024-03-16 12:51:18.899954
96|1|11|11.0|2024-03-16 12:51:20.374866
97|0|77|77.0|2024-03-16 12:51:21.489079
98|0|20|20.0|2024-03-16 12:51:23.872066
99|1|31|31.0|2024-03-16 12:51:24.002907
100|0|16|16.0|2024-03-16 12:51:26.232118
101|1|21|21.0|2024-03-16 12:51:26.972549
102|0|13|13.0|2024-03-16 12:51:27.815600
103|1|16|16.0|2024-03-16 12:51:28.777528
104|0|26|26.0|2024-03-16 12:51:30.586871
105|1|17|17.0|2024-03-16 12:51:30.589111
106|0|19|19.0|2024-03-16 12:51:33.150617
107|0|9|9.0|2024-03-16 12:51:34.394633
108|1|33|33.0|2024-03-16 12:51:35.066545
109|0|12|12.0|2024-03-16 12:51:36.051187
110|0|16|16.0|2024-03-16 12:51:37.970881
111|0|13|13.0|2024-03-16 12:51:39.761116
112|1|55|55.0|2024-03-16 12:51:42.026321
113|0|30|30.0|2024-03-16 12:51:43.597031
114|0|9|9.0|2024-03-16 12:51:44.830935
115|1|26|26.0|2024-03-16 12:51:45.737242
116|1|12|12.0|2024-03-16 12:51:47.589678
117|0|30|30.0|2024-03-16 12:51:49.357520
118|1|24|24.0|2024-03-16 12:51:50.888626
119|1|12|12.0|2024-03-16 12:51:52.365624
120|0|28|28.0|2024-03-16 12:51:52.765640
121|0|10|10.0|2024-03-16 12:51:54.087329
122|1|18|18.0|2024-03-16 12:51:54.607373
123|0|22|22.0|2024-03-16 12:51:57.067833
124|1|22|22.0|2024-03-16 12:51:57.598868
125|0|16|16.0|2024-03-16 12:51:59.475560
126|1|24|24.0|2024-03-16 12:52:00.934423
127|1|17|17.0|2024-03-16 12:52:03.074678
128|0|38|38.0|2024-03-16 12:52:03.978538
129|1|9|9.0|2024-03-16 12:52:03.979898
130|1|31|31.0|2024-03-16 12:52:07.187969
131|0|33|33.0|2024-03-16 12:52:07.450388
132|1|16|16.0|2024-03-16 12:52:09.653431
133|1|10|10.0|2024-03-16 12:52:11.115759
134|0|25|25.0|2024-03-16 12:52:11.237262
135|0|13|13.0|2024-03-16 12:52:12.260212
136|1|22|22.0|2024-03-16 12:52:12.891891
137|0|24|24.0|2024-03-16 12:52:14.577719
138|1|21|21.0|2024-03-16 12:52:15.214923
139|1|8|8.0|2024-03-16 12:52:16.193862
140|0|29|29.0|2024-03-16 12:52:18.153810
141|1|22|22.0|2024-03-16 12:52:19.070240
142|0|25|25.0|2024-03-16 12:52:21.810218
143|0|19|19.0|2024-03-16 12:52:24.269926
144|1|44|44.0|2024-03-16 12:52:25.058806
145|1|16|16.0|2024-03-16 12:52:27.241031
146|0|25|25.0|2024-03-16 12:52:27.737750
147|0|14|14.0|2024-03-16 12:52:29.819647
148|1|28|28.0|2024-03-16 12:52:31.375324
149|0|26|26.0|2024-03-16 12:52:33.382706
150|1|29|29.0|2024-03-16 12:52:35.370340
151|0|16|16.0|2024-03-16 12:52:35.663962
152|1|26|26.0|2024-03-16 12:52:38.640271
153|0|37|37.0|2024-03-16 12:52:40.543965
154|0|16|16.0|2024-03-16 12:52:42.691048
155|1|38|38.0|2024-03-16 12:52:43.935282
156|0|18|18.0|2024-03-16 12:52:45.055888
157|1|11|11.0|2024-03-16 12:52:45.366042
158|1|18|18.0|2024-03-16 12:52:47.833202
159|0|34|34.0|2024-03-16 12:52:49.708396
160|1|21|21.0|2024-03-16 12:52:50.568300
161|1|13|13.0|2024-03-16 12:52:52.431742
162|0|40|40.0|2024-03-16 12:52:55.134667
163|1|25|25.0|2024-03-16 12:52:55.589079
164|1|16|16.0|2024-03-16 12:52:57.150342
165|0|34|34.0|2024-03-16 12:52:58.426934
166|1|28|28.0|2024-03-16 12:53:00.034752
167|0|19|19.0|2024-03-16 12:53:00.470723
168|0|28|28.0|2024-03-16 12:53:04.033241
169|0|20|20.0|2024-03-16 12:53:06.605979
170|1|69|69.0|2024-03-16 12:53:09.158963
171|0|24|24.0|2024-03-16 12:53:10.090245
172|1|16|16.0|2024-03-16 12:53:11.026938
173|0|11|11.0|2024-03-16 12:53:11.209485
174|0|11|11.0|2024-03-16 12:53:12.590652
175|0|25|25.0|2024-03-16 12:53:15.954128
176|1|41|41.0|2024-03-16 12:53:16.307587
177|0|13|13.0|2024-03-16 12:53:17.658984
178|0|14|14.0|2024-03-16 12:53:19.341071
179|1|27|27.0|2024-03-16 13:38:39.067932
180|1|24|24.0|2024-03-16 13:38:42.671865
181|0|39|39.0|2024-03-16 13:38:44.066458
182|1|12|12.0|2024-03-16 13:38:44.067769
183|0|12|12.0|2024-03-16 13:38:45.516591
184|1|19|19.0|2024-03-16 13:38:46.144602
185|0|18|18.0|2024-03-16 13:38:47.070617
186|0|11|11.0|2024-03-16 13:38:48.041238
187|1|57|57.0|2024-03-16 13:38:52.016870
188|0|43|43.0|2024-03-16 13:38:52.932805
189|1|43|43.0|2024-03-16 13:38:57.017123
190|0|37|37.0|2024-03-16 13:38:57.262594
191|1|12|12.0|2024-03-16 13:38:58.399506
192|1|30|30.0|2024-03-16 13:39:02.523957
193|0|67|67.0|2024-03-16 13:39:05.896295
194|1|31|31.0|2024-03-16 13:39:06.578365
195|1|10|10.0|2024-03-16 13:39:07.847609
196|0|24|24.0|2024-03-16 13:39:09.227833
197|1|42|42.0|2024-03-16 13:39:13.967758
198|0|42|42.0|2024-03-16 13:39:15.351520
199|1|19|19.0|2024-03-16 13:39:16.565527
200|0|14|14.0|2024-03-16 13:39:17.481787
201|1|20|20.0|2024-03-16 13:39:19.704506
202|0|16|16.0|2024-03-16 13:39:19.857840
203|1|12|12.0|2024-03-16 13:39:21.515285
204|1|16|16.0|2024-03-16 13:39:23.843809
205|0|30|30.0|2024-03-16 13:39:24.278169
206|1|8|8.0|2024-03-16 13:39:24.956754
207|0|18|18.0|2024-03-16 13:39:27.034877
208|1|21|21.0|2024-03-16 13:39:28.076790
209|0|11|11.0|2024-03-16 13:39:28.525389
210|0|18|18.0|2024-03-16 13:39:30.931658
211|0|22|22.0|2024-03-16 13:39:33.457827
212|1|45|45.0|2024-03-16 13:39:33.639587
213|1|18|18.0|2024-03-16 13:39:36.087996
214|0|24|24.0|2024-03-16 13:39:36.658319
215|1|17|17.0|2024-03-16 13:39:38.111282
216|1|13|13.0|2024-03-16 13:39:39.470795
217|0|34|34.0|2024-03-16 13:39:40.422231
218|1|25|25.0|2024-03-16 13:39:42.143412
219|0|20|20.0|2024-03-16 13:39:42.477981
220|1|10|10.0|2024-03-16 13:39:43.417003
221|0|19|19.0|2024-03-16 13:39:45.019875
222|0|10|10.0|2024-03-16 13:39:46.231610
223|1|32|32.0|2024-03-16 13:39:47.575355
224|1|10|10.0|2024-03-16 13:39:48.852436
225|0|23|23.0|2024-03-16 13:39:49.252290
226|0|17|17.0|2024-03-16 13:39:51.644548
227|1|38|38.0|2024-03-16 13:39:53.843435
228|0|24|24.0|2024-03-16 13:39:54.688270
229|1|12|12.0|2024-03-16 13:39:55.643846
230|0|19|19.0|2024-03-16 13:39:57.694150
231|1|19|19.0|2024-03-16 13:39:58.567380
232|1|13|13.0|2024-03-16 13:40:00.390119
233|0|30|30.0|2024-03-16 13:40:02.303061
234|1|14|14.0|2024-03-16 13:40:02.748709
235|0|14|14.0|2024-03-16 13:40:04.380179
236|1|17|17.0|2024-03-16 13:40:05.311146
