episode|worker_id|eplen|score|ts
0|1|15|15.0|2024-03-21 12:48:08.017918
1|0|20|20.0|2024-03-21 12:48:08.257408
2|1|10|10.0|2024-03-21 12:48:08.495935
3|0|11|11.0|2024-03-21 12:48:08.782489
4|1|12|12.0|2024-03-21 12:48:09.069254
5|0|9|9.0|2024-03-21 12:48:09.213342
6|0|11|11.0|2024-03-21 12:48:09.739898
7|1|22|22.0|2024-03-21 12:48:10.122747
8|0|20|20.0|2024-03-21 12:48:10.697937
9|1|15|15.0|2024-03-21 12:48:10.841546
10|0|12|12.0|2024-03-21 12:48:11.269834
11|1|15|15.0|2024-03-21 12:48:11.555522
12|0|21|21.0|2024-03-21 12:48:12.268951
13|1|20|20.0|2024-03-21 12:48:12.507695
14|0|25|25.0|2024-03-21 12:48:13.470737
15|1|28|28.0|2024-03-21 12:48:13.861328
16|0|13|13.0|2024-03-21 12:48:14.100848
17|1|15|15.0|2024-03-21 12:48:14.578197
18|0|14|14.0|2024-03-21 12:48:14.772079
19|0|14|14.0|2024-03-21 12:48:15.445409
20|1|18|18.0|2024-03-21 12:48:15.446641
21|1|11|11.0|2024-03-21 12:48:15.969943
22|0|16|16.0|2024-03-21 12:48:16.208890
23|1|19|19.0|2024-03-21 12:48:16.874823
24|1|14|14.0|2024-03-21 12:48:17.542773
25|0|30|30.0|2024-03-21 12:48:17.638338
26|1|17|17.0|2024-03-21 12:48:18.350885
27|0|22|22.0|2024-03-21 12:48:18.685577
28|1|11|11.0|2024-03-21 12:48:18.876535
29|0|25|25.0|2024-03-21 12:48:52.145473
30|1|28|28.0|2024-03-21 12:48:52.484334
31|0|19|19.0|2024-03-21 12:48:53.061855
32|1|15|15.0|2024-03-21 12:48:53.209967
33|0|10|10.0|2024-03-21 12:48:53.548288
34|1|12|12.0|2024-03-21 12:48:53.791358
35|0|9|9.0|2024-03-21 12:48:53.984387
36|1|13|13.0|2024-03-21 12:48:54.420158
37|0|20|20.0|2024-03-21 12:48:54.950540
38|0|17|17.0|2024-03-21 12:48:55.773607
39|1|38|38.0|2024-03-21 12:48:56.260891
40|0|19|19.0|2024-03-21 12:48:56.696193
41|1|13|13.0|2024-03-21 12:48:56.889467
42|0|10|10.0|2024-03-21 12:48:57.178286
43|1|11|11.0|2024-03-21 12:48:57.420735
44|0|10|10.0|2024-03-21 12:48:57.662843
45|1|12|12.0|2024-03-21 12:48:58.000723
46|0|11|11.0|2024-03-21 12:48:58.195670
47|1|14|14.0|2024-03-21 12:48:58.680664
48|1|10|10.0|2024-03-21 12:48:59.165619
49|0|21|21.0|2024-03-21 12:48:59.215094
50|0|21|21.0|2024-03-21 12:49:00.241181
51|1|26|26.0|2024-03-21 12:49:00.436221
52|0|13|13.0|2024-03-21 12:49:00.875797
53|1|13|13.0|2024-03-21 12:49:01.069480
54|0|9|9.0|2024-03-21 12:49:01.311715
55|0|10|10.0|2024-03-21 12:49:01.795664
56|1|16|16.0|2024-03-21 12:49:01.844935
57|0|16|16.0|2024-03-21 12:49:02.573491
58|1|15|15.0|2024-03-21 12:49:02.575042
59|1|13|13.0|2024-03-21 12:49:03.207223
60|0|20|20.0|2024-03-21 12:49:03.557077
61|0|13|13.0|2024-03-21 12:49:36.606485
62|1|21|21.0|2024-03-21 12:49:36.655395
63|1|10|10.0|2024-03-21 12:49:37.137611
64|0|17|17.0|2024-03-21 12:49:37.428304
65|1|18|18.0|2024-03-21 12:49:38.008288
66|0|14|14.0|2024-03-21 12:49:38.106566
67|0|13|13.0|2024-03-21 12:49:38.734753
68|1|15|15.0|2024-03-21 12:49:38.736108
69|1|12|12.0|2024-03-21 12:49:39.316096
70|0|15|15.0|2024-03-21 12:49:39.461505
71|0|12|12.0|2024-03-21 12:49:40.042957
72|1|16|16.0|2024-03-21 12:49:40.092268
73|0|13|13.0|2024-03-21 12:49:40.674315
74|1|14|14.0|2024-03-21 12:49:40.771786
75|0|11|11.0|2024-03-21 12:49:41.206870
76|1|17|17.0|2024-03-21 12:49:41.595217
77|0|20|20.0|2024-03-21 12:49:42.177095
78|0|17|17.0|2024-03-21 12:49:42.999435
79|1|48|48.0|2024-03-21 12:49:43.919676
80|1|10|10.0|2024-03-21 12:49:44.403126
81|0|36|36.0|2024-03-21 12:49:44.742049
82|0|16|16.0|2024-03-21 12:49:45.529834
83|0|11|11.0|2024-03-21 12:49:46.062687
84|1|40|40.0|2024-03-21 12:49:46.354154
85|0|9|9.0|2024-03-21 12:49:46.499882
86|0|13|13.0|2024-03-21 12:49:47.128999
87|1|23|23.0|2024-03-21 12:49:47.468334
88|0|15|15.0|2024-03-21 12:49:47.856167
89|1|16|16.0|2024-03-21 12:50:20.506970
90|0|11|11.0|2024-03-21 12:50:20.652176
91|0|14|14.0|2024-03-21 12:50:21.327850
92|1|18|18.0|2024-03-21 12:50:21.376967
93|0|33|33.0|2024-03-21 12:50:22.922393
94|1|39|39.0|2024-03-21 12:50:23.261551
95|0|13|13.0|2024-03-21 12:50:23.551506
96|0|11|11.0|2024-03-21 12:50:24.082753
97|1|20|20.0|2024-03-21 12:50:24.228723
98|0|11|11.0|2024-03-21 12:50:24.614704
99|0|18|18.0|2024-03-21 12:50:25.484444
100|1|39|39.0|2024-03-21 12:50:26.212691
101|0|17|17.0|2024-03-21 12:50:26.405082
102|1|9|9.0|2024-03-21 12:50:26.647084
103|0|16|16.0|2024-03-21 12:50:27.176124
104|0|21|21.0|2024-03-21 12:50:28.186465
105|1|39|39.0|2024-03-21 12:50:28.524748
106|1|15|15.0|2024-03-21 12:50:29.248648
107|0|30|30.0|2024-03-21 12:50:29.634323
108|1|16|16.0|2024-03-21 12:50:30.022910
109|0|17|17.0|2024-03-21 12:50:30.467506
110|0|12|12.0|2024-03-21 12:50:31.046208
111|1|24|24.0|2024-03-21 12:50:31.195817
112|0|10|10.0|2024-03-21 12:50:31.540365
113|1|17|17.0|2024-03-21 12:50:32.023750
114|0|14|14.0|2024-03-21 12:50:32.217738
115|1|15|15.0|2024-03-21 12:51:04.459976
116|0|18|18.0|2024-03-21 12:51:04.798773
117|0|10|10.0|2024-03-21 12:51:05.281412
118|1|21|21.0|2024-03-21 12:51:05.474679
119|0|11|11.0|2024-03-21 12:51:05.811978
120|1|14|14.0|2024-03-21 12:51:06.150065
121|0|18|18.0|2024-03-21 12:51:06.679600
122|1|13|13.0|2024-03-21 12:51:06.777014
123|1|11|11.0|2024-03-21 12:51:07.308528
124|0|14|14.0|2024-03-21 12:51:07.357207
125|0|12|12.0|2024-03-21 12:51:07.937381
126|1|16|16.0|2024-03-21 12:51:08.083537
127|0|16|16.0|2024-03-21 12:51:08.718365
128|0|15|15.0|2024-03-21 12:51:09.442315
