episode|worker_id|eplen|score|ts
0|1|10|10.0|2024-03-21 12:48:07.990079
1|0|17|17.0|2024-03-21 12:48:08.334450
2|0|19|19.0|2024-03-21 12:48:09.260579
3|1|28|28.0|2024-03-21 12:48:09.357907
4|0|13|13.0|2024-03-21 12:48:09.885174
5|1|13|13.0|2024-03-21 12:48:09.986426
6|1|9|9.0|2024-03-21 12:48:10.434655
7|0|17|17.0|2024-03-21 12:48:10.731772
8|0|11|11.0|2024-03-21 12:48:11.276305
9|1|33|33.0|2024-03-21 12:48:12.059561
10|0|21|21.0|2024-03-21 12:48:12.303336
11|1|14|14.0|2024-03-21 12:48:12.742339
12|0|14|14.0|2024-03-21 12:48:12.986587
13|1|12|12.0|2024-03-21 12:48:13.330713
14|0|11|11.0|2024-03-21 12:48:13.546014
15|0|12|12.0|2024-03-21 12:48:14.135275
16|1|16|16.0|2024-03-21 12:48:14.136653
17|1|19|19.0|2024-03-21 12:48:15.084584
18|0|21|21.0|2024-03-21 12:48:15.183061
19|0|14|14.0|2024-03-21 12:48:15.883742
20|1|17|17.0|2024-03-21 12:48:15.933621
21|0|18|18.0|2024-03-21 12:48:16.766829
22|1|18|18.0|2024-03-21 12:48:16.816123
23|0|19|19.0|2024-03-21 12:48:17.695450
24|1|23|23.0|2024-03-21 12:48:17.945982
25|0|14|14.0|2024-03-21 12:48:18.388066
26|1|15|15.0|2024-03-21 12:48:18.681069
27|0|14|14.0|2024-03-21 12:48:19.074963
28|1|10|10.0|2024-03-21 12:48:19.173517
29|0|25|25.0|2024-03-21 12:48:52.739499
30|1|23|23.0|2024-03-21 12:48:52.740740
31|1|14|14.0|2024-03-21 12:48:53.446410
32|0|15|15.0|2024-03-21 12:48:53.497215
33|0|11|11.0|2024-03-21 12:48:54.048111
34|1|23|23.0|2024-03-21 12:48:54.603116
35|0|18|18.0|2024-03-21 12:48:54.952103
36|1|10|10.0|2024-03-21 12:48:55.098330
37|1|11|11.0|2024-03-21 12:48:55.662477
38|1|14|14.0|2024-03-21 12:48:56.358964
39|0|35|35.0|2024-03-21 12:48:56.707185
40|1|15|15.0|2024-03-21 12:48:57.103939
41|0|19|19.0|2024-03-21 12:48:57.655566
42|1|14|14.0|2024-03-21 12:48:57.806453
43|0|11|11.0|2024-03-21 12:48:58.209985
44|1|9|9.0|2024-03-21 12:48:58.261104
45|0|35|35.0|2024-03-21 12:48:59.958253
46|0|11|11.0|2024-03-21 12:49:00.506714
47|1|47|47.0|2024-03-21 12:49:00.608453
48|1|15|15.0|2024-03-21 12:49:01.354783
49|0|19|19.0|2024-03-21 12:49:01.456137
50|1|22|22.0|2024-03-21 12:49:02.455117
51|0|25|25.0|2024-03-21 12:49:02.702849
52|0|11|11.0|2024-03-21 12:49:03.252854
53|1|17|17.0|2024-03-21 12:49:03.303446
54|1|12|12.0|2024-03-21 12:49:03.902447
55|0|17|17.0|2024-03-21 12:49:04.102535
56|0|16|16.0|2024-03-21 12:49:36.813452
57|1|20|20.0|2024-03-21 12:49:36.814756
58|0|10|10.0|2024-03-21 12:49:37.298483
59|0|13|13.0|2024-03-21 12:49:37.927205
60|1|45|45.0|2024-03-21 12:49:38.991860
61|0|33|33.0|2024-03-21 12:49:39.550842
62|1|25|25.0|2024-03-21 12:49:40.238542
63|0|16|16.0|2024-03-21 12:49:40.339768
64|1|26|26.0|2024-03-21 12:49:41.565835
65|0|25|25.0|2024-03-21 12:49:41.618775
66|0|13|13.0|2024-03-21 12:49:42.280732
67|1|31|31.0|2024-03-21 12:49:43.155751
68|0|31|31.0|2024-03-21 12:49:43.877405
69|1|21|21.0|2024-03-21 12:49:44.233975
