episode|worker_id|eplen|score|ts
0|1|8|8.0|2024-05-16 13:15:09.580016
1|0|17|17.0|2024-05-16 13:15:09.922012
2|0|22|22.0|2024-05-16 13:15:10.802528
3|1|36|36.0|2024-05-16 13:15:11.010377
4|1|15|15.0|2024-05-16 13:15:11.628048
5|0|21|21.0|2024-05-16 13:15:11.671422
6|0|12|12.0|2024-05-16 13:15:12.167080
7|1|21|21.0|2024-05-16 13:15:12.491195
8|0|27|27.0|2024-05-16 13:15:13.224924
9|0|9|9.0|2024-05-16 13:15:13.570956
10|1|34|34.0|2024-05-16 13:15:13.802123
11|0|17|17.0|2024-05-16 13:15:14.235185
12|1|15|15.0|2024-05-16 13:15:14.397776
13|1|25|25.0|2024-05-16 13:15:15.390394
14|0|34|34.0|2024-05-16 13:15:15.591450
15|1|11|11.0|2024-05-16 13:15:15.831428
16|1|11|11.0|2024-05-16 13:15:16.275495
17|0|20|20.0|2024-05-16 13:15:16.398369
18|1|14|14.0|2024-05-16 13:15:16.823400
19|0|23|23.0|2024-05-16 13:15:17.284663
20|1|17|17.0|2024-05-16 13:15:17.478524
21|1|15|15.0|2024-05-16 13:15:18.074877
22|0|39|39.0|2024-05-16 13:15:18.831730
23|1|25|25.0|2024-05-16 13:15:19.077847
24|0|11|11.0|2024-05-16 13:15:51.155208
25|0|13|13.0|2024-05-16 13:15:51.692948
26|1|19|19.0|2024-05-16 13:15:51.734147
27|0|17|17.0|2024-05-16 13:15:52.386380
28|1|23|23.0|2024-05-16 13:15:52.672942
29|0|22|22.0|2024-05-16 13:15:53.285011
30|1|22|22.0|2024-05-16 13:15:53.568103
31|1|11|11.0|2024-05-16 13:15:54.016624
32|1|14|14.0|2024-05-16 13:15:54.580969
33|0|33|33.0|2024-05-16 13:15:54.621563
34|0|23|23.0|2024-05-16 13:15:55.534205
35|1|27|27.0|2024-05-16 13:15:55.652589
36|0|9|9.0|2024-05-16 13:15:55.886441
37|1|13|13.0|2024-05-16 13:15:56.157784
