episode|worker_id|eplen|score|ts
0|0|13|13.0|2024-05-14 11:09:33.149461
1|1|32|32.0|2024-05-14 11:09:33.551179
2|0|31|31.0|2024-05-14 11:09:33.783056
3|1|35|35.0|2024-05-14 11:09:34.228268
4|0|35|35.0|2024-05-14 11:09:34.457611
5|1|18|18.0|2024-05-14 11:09:34.574418
6|0|12|12.0|2024-05-14 11:09:34.691064
7|1|14|14.0|2024-05-14 11:09:34.843235
8|0|17|17.0|2024-05-14 11:09:35.021062
9|1|9|9.0|2024-05-14 11:09:35.021893
10|1|16|16.0|2024-05-14 11:09:35.331894
11|0|25|25.0|2024-05-14 11:09:35.512435
12|1|13|13.0|2024-05-14 11:09:35.592215
13|0|11|11.0|2024-05-14 11:09:35.729197
14|1|23|23.0|2024-05-14 11:09:36.041005
15|0|36|36.0|2024-05-14 11:09:36.428177
16|1|22|22.0|2024-05-14 11:09:36.467185
17|0|22|22.0|2024-05-14 11:09:36.859020
18|1|29|29.0|2024-05-14 11:09:37.033273
19|0|16|16.0|2024-05-14 11:09:37.170246
20|1|24|24.0|2024-05-14 11:09:37.495567
21|0|28|28.0|2024-05-14 11:09:37.712029
22|0|16|16.0|2024-05-14 11:10:03.608317
23|1|36|36.0|2024-05-14 11:10:03.779597
24|0|15|15.0|2024-05-14 11:10:03.890985
25|0|18|18.0|2024-05-14 11:10:04.235767
26|0|11|11.0|2024-05-14 11:10:04.441779
27|0|29|29.0|2024-05-14 11:10:04.991962
28|1|74|74.0|2024-05-14 11:10:05.179927
29|0|16|16.0|2024-05-14 11:10:05.299443
30|1|14|14.0|2024-05-14 11:10:05.451513
31|0|17|17.0|2024-05-14 11:10:05.624810
32|0|14|14.0|2024-05-14 11:10:05.894558
33|1|34|34.0|2024-05-14 11:10:06.105106
34|0|15|15.0|2024-05-14 11:10:06.181110
35|1|34|34.0|2024-05-14 11:10:06.751756
36|1|12|12.0|2024-05-14 11:10:06.981524
37|0|48|48.0|2024-05-14 11:10:07.098489
38|1|19|19.0|2024-05-14 11:10:07.346647
39|0|15|15.0|2024-05-14 11:10:07.386755
40|0|11|11.0|2024-05-14 11:10:07.602319
41|1|30|30.0|2024-05-14 11:10:07.927476
42|0|19|19.0|2024-05-14 11:10:07.972655
43|1|15|15.0|2024-05-14 11:10:34.069526
44|0|20|20.0|2024-05-14 11:10:34.204292
45|1|19|19.0|2024-05-14 11:10:34.433592
46|1|19|19.0|2024-05-14 11:10:34.797966
47|0|41|41.0|2024-05-14 11:10:34.987881
48|0|10|10.0|2024-05-14 11:10:35.184025
49|1|28|28.0|2024-05-14 11:10:35.343849
50|0|13|13.0|2024-05-14 11:10:35.440808
51|1|19|19.0|2024-05-14 11:10:35.709498
52|0|31|31.0|2024-05-14 11:10:36.039999
53|1|22|22.0|2024-05-14 11:10:36.146846
54|0|12|12.0|2024-05-14 11:10:36.277149
55|1|22|22.0|2024-05-14 11:10:36.568578
56|0|18|18.0|2024-05-14 11:10:36.628567
57|0|13|13.0|2024-05-14 11:10:36.877973
58|0|26|26.0|2024-05-14 11:10:37.371287
59|1|46|46.0|2024-05-14 11:10:37.448500
60|0|14|14.0|2024-05-14 11:10:37.635041
61|1|14|14.0|2024-05-14 11:10:37.712579
62|0|16|16.0|2024-05-14 11:10:37.944618
63|1|15|15.0|2024-05-14 11:10:38.005327
64|0|14|14.0|2024-05-14 11:10:38.216654
65|1|16|16.0|2024-05-14 11:10:38.314824
66|0|22|22.0|2024-05-14 11:10:38.639981
67|1|20|20.0|2024-05-14 11:10:38.697681
68|0|16|16.0|2024-05-14 11:11:04.288870
69|1|15|15.0|2024-05-14 11:11:04.327857
70|0|29|29.0|2024-05-14 11:11:04.849993
71|1|27|27.0|2024-05-14 11:11:04.850653
72|1|11|11.0|2024-05-14 11:11:05.061629
73|0|19|19.0|2024-05-14 11:11:05.217408
74|0|11|11.0|2024-05-14 11:11:05.432120
75|0|15|15.0|2024-05-14 11:11:05.711938
76|0|13|13.0|2024-05-14 11:11:05.970565
77|1|57|57.0|2024-05-14 11:11:06.159136
78|0|13|13.0|2024-05-14 11:11:06.216191
79|1|14|14.0|2024-05-14 11:11:06.430265
80|0|19|19.0|2024-05-14 11:11:06.584764
81|1|18|18.0|2024-05-14 11:11:06.772509
82|0|19|19.0|2024-05-14 11:11:06.949443
83|1|11|11.0|2024-05-14 11:11:06.991139
84|1|15|15.0|2024-05-14 11:11:07.272289
85|1|40|40.0|2024-05-14 11:11:08.038691
86|0|60|60.0|2024-05-14 11:11:08.100300
87|0|17|17.0|2024-05-14 11:11:08.435553
88|1|22|22.0|2024-05-14 11:11:08.475673
89|0|15|15.0|2024-05-14 11:11:08.724359
90|1|18|18.0|2024-05-14 11:11:08.819238
91|0|11|11.0|2024-05-14 11:11:08.932513
92|1|15|15.0|2024-05-14 11:11:34.633483
93|0|22|22.0|2024-05-14 11:11:34.883714
94|0|23|23.0|2024-05-14 11:11:35.324931
95|1|36|36.0|2024-05-14 11:11:35.325621
96|0|24|24.0|2024-05-14 11:11:35.788718
97|0|30|30.0|2024-05-14 11:11:36.367630
98|0|17|17.0|2024-05-14 11:11:36.691802
99|1|83|83.0|2024-05-14 11:11:36.931281
100|0|15|15.0|2024-05-14 11:11:37.073170
101|1|11|11.0|2024-05-14 11:11:37.224574
102|1|10|10.0|2024-05-14 11:11:37.418163
103|0|23|23.0|2024-05-14 11:11:37.512469
104|1|19|19.0|2024-05-14 11:11:37.775367
105|0|19|19.0|2024-05-14 11:11:37.868972
106|1|11|11.0|2024-05-14 11:11:37.985141
107|0|14|14.0|2024-05-14 11:11:38.133908
108|0|14|14.0|2024-05-14 11:11:38.399012
109|0|20|20.0|2024-05-14 11:11:38.774171
110|1|57|57.0|2024-05-14 11:11:39.056141
111|0|17|17.0|2024-05-14 11:11:39.097234
112|0|38|38.0|2024-05-14 11:12:05.059324
113|1|40|40.0|2024-05-14 11:12:05.059976
114|0|16|16.0|2024-05-14 11:12:05.376154
115|1|30|30.0|2024-05-14 11:12:05.642145
116|1|25|25.0|2024-05-14 11:12:06.130162
117|1|26|26.0|2024-05-14 11:12:06.630277
118|0|81|81.0|2024-05-14 11:12:06.925701
119|1|34|34.0|2024-05-14 11:12:07.267479
120|0|26|26.0|2024-05-14 11:12:07.416550
121|1|22|22.0|2024-05-14 11:12:07.678950
122|0|19|19.0|2024-05-14 11:12:07.772730
123|0|16|16.0|2024-05-14 11:12:08.067146
124|1|38|38.0|2024-05-14 11:12:08.383587
125|1|18|18.0|2024-05-14 11:12:08.719310
126|1|31|31.0|2024-05-14 11:12:09.289201
127|1|19|19.0|2024-05-14 11:12:35.344358
128|0|88|88.0|2024-05-14 11:12:35.408605
129|1|11|11.0|2024-05-14 11:12:35.560748
130|0|14|14.0|2024-05-14 11:12:35.674072
131|0|28|28.0|2024-05-14 11:12:36.199184
132|1|39|39.0|2024-05-14 11:12:36.292587
133|0|14|14.0|2024-05-14 11:12:36.462299
134|0|11|11.0|2024-05-14 11:12:36.668511
135|1|21|21.0|2024-05-14 11:12:36.688186
136|0|12|12.0|2024-05-14 11:12:36.891864
137|1|18|18.0|2024-05-14 11:12:37.022509
138|0|13|13.0|2024-05-14 11:12:37.134833
139|1|16|16.0|2024-05-14 11:12:37.321563
140|0|15|15.0|2024-05-14 11:12:37.415995
141|1|20|20.0|2024-05-14 11:12:37.695832
142|0|26|26.0|2024-05-14 11:12:37.897616
143|1|42|42.0|2024-05-14 11:12:38.471998
144|0|36|36.0|2024-05-14 11:12:38.567657
145|1|15|15.0|2024-05-14 11:12:38.754776
146|0|45|45.0|2024-05-14 11:12:39.406113
147|1|46|46.0|2024-05-14 11:12:39.617659
148|0|13|13.0|2024-05-14 11:12:39.656523
149|0|25|25.0|2024-05-14 11:13:05.601998
150|0|15|15.0|2024-05-14 11:13:05.876434
151|1|49|49.0|2024-05-14 11:13:06.007545
152|1|13|13.0|2024-05-14 11:13:06.248787
153|1|11|11.0|2024-05-14 11:13:06.450656
154|0|35|35.0|2024-05-14 11:13:06.525306
155|0|11|11.0|2024-05-14 11:13:06.725466
156|1|19|19.0|2024-05-14 11:13:06.799347
157|0|13|13.0|2024-05-14 11:13:06.967145
158|1|21|21.0|2024-05-14 11:13:07.186726
159|0|18|18.0|2024-05-14 11:13:07.296610
160|1|15|15.0|2024-05-14 11:13:07.463140
161|0|15|15.0|2024-05-14 11:13:07.572864
162|1|22|22.0|2024-05-14 11:13:07.865888
163|1|19|19.0|2024-05-14 11:13:08.212811
164|1|35|35.0|2024-05-14 11:13:08.856103
165|0|71|71.0|2024-05-14 11:13:08.875869
166|0|18|18.0|2024-05-14 11:13:09.210133
