epoch|train_rec_loss|test_loss
0|0.2643759846687317|0.20941196382045746
1|0.20783163607120514|0.2073126584291458
2|0.20704405009746552|0.20675547420978546
3|0.2064836025238037|0.20619964599609375
4|0.20593498647212982|0.20564502477645874
5|0.20537173748016357|0.20509158074855804
6|0.20481711626052856|0.20453935861587524
7|0.20426727831363678|0.2039908468723297
8|0.20372340083122253|0.20344692468643188
9|0.2031790316104889|0.20290438830852509
10|0.20264433324337006|0.20236465334892273
11|0.20210519433021545|0.20182648301124573
12|0.2015540450811386|0.2012898027896881
13|0.2010280191898346|0.200755774974823
14|0.20049431920051575|0.20022326707839966
15|0.19996319711208344|0.1996920257806778
16|0.19943614304065704|0.19916202127933502
17|0.19890356063842773|0.19863340258598328
18|0.19837844371795654|0.19810637831687927
19|0.19784247875213623|0.19758114218711853
20|0.1973247230052948|0.19705721735954285
21|0.19680342078208923|0.19653527438640594
22|0.19628052413463593|0.19601647555828094
23|0.19576844573020935|0.1954990029335022
24|0.19525127112865448|0.19498297572135925
25|0.19473013281822205|0.1944689154624939
26|0.19421201944351196|0.19395655393600464
27|0.19370797276496887|0.19344545900821686
28|0.1931956559419632|0.1929357349872589
29|0.19268648326396942|0.19243215024471283
30|0.19219280779361725|0.19193001091480255
31|0.19168362021446228|0.19142892956733704
32|0.19118916988372803|0.19092905521392822
33|0.19067811965942383|0.19043053686618805
34|0.19018423557281494|0.18993330001831055
35|0.18969951570034027|0.18943744897842407
36|0.18920084834098816|0.18894286453723907
37|0.1887064278125763|0.1884496659040451
38|0.1882060319185257|0.18795809149742126
39|0.18771888315677643|0.1874675452709198
40|0.1872280389070511|0.18697789311408997
41|0.18674159049987793|0.18648923933506012
42|0.18625004589557648|0.18600168824195862
43|0.18576472997665405|0.18551510572433472
44|0.18527203798294067|0.1850304752588272
45|0.18479499220848083|0.18455077707767487
46|0.18431760370731354|0.18407338857650757
47|0.18383976817131042|0.18359719216823578
48|0.1833685338497162|0.1831224262714386
49|0.1828911155462265|0.18264910578727722
50|0.18241268396377563|0.18217787146568298
51|0.1819525808095932|0.18171025812625885
52|0.18148697912693024|0.18124742805957794
53|0.18101845681667328|0.1807861477136612
54|0.18055829405784607|0.18032625317573547
55|0.18010477721691132|0.17986732721328735
56|0.17964936792850494|0.17940929532051086
57|0.17918559908866882|0.17895223200321198
58|0.17873208224773407|0.1784961074590683
59|0.17826895415782928|0.17804081737995148
60|0.17782673239707947|0.17758646607398987
61|0.17736998200416565|0.17713318765163422
62|0.1769157350063324|0.1766808182001114
63|0.17646129429340363|0.17622995376586914
64|0.17601588368415833|0.17578063905239105
65|0.17557218670845032|0.17533251643180847
66|0.17511002719402313|0.17488574981689453
67|0.1746673882007599|0.17444035410881042
68|0.17422565817832947|0.17399632930755615
69|0.17377883195877075|0.17355358600616455
70|0.1733332723379135|0.17311221361160278
71|0.1728900969028473|0.17267203330993652
72|0.17246051132678986|0.17223282158374786
73|0.17201773822307587|0.17179465293884277
74|0.1715800017118454|0.1713579297065735
75|0.1711443066596985|0.17092564702033997
76|0.17071221768856049|0.1704995185136795
77|0.17029273509979248|0.17007486522197723
78|0.16987153887748718|0.16965265572071075
79|0.16944734752178192|0.16923275589942932
80|0.1690296232700348|0.16881471872329712
81|0.16861149668693542|0.16839785873889923
82|0.16819192469120026|0.16798225045204163
83|0.16777583956718445|0.1675676554441452
84|0.16736140847206116|0.16715389490127563
85|0.16695190966129303|0.16674096882343292
86|0.16654422879219055|0.16632886230945587
87|0.16612841188907623|0.1659175455570221
88|0.16571666300296783|0.16550704836845398
89|0.16530674695968628|0.16509732604026794
90|0.16489677131175995|0.16468849778175354
91|0.16449661552906036|0.1642809510231018
92|0.164083793759346|0.16387422382831573
93|0.16367603838443756|0.16346828639507294
94|0.16327042877674103|0.1630631685256958
95|0.16286052763462067|0.16265888512134552
96|0.16246537864208221|0.16225549578666687
97|0.16205526888370514|0.16185304522514343
98|0.16165675222873688|0.16145150363445282
99|0.1612599492073059|0.1610509604215622
100|0.1608545184135437|0.16065140068531036
101|0.16046012938022614|0.16025501489639282
102|0.16006188094615936|0.15986226499080658
103|0.1596701592206955|0.15947069227695465
104|0.15928597748279572|0.15908025205135345
105|0.15888631343841553|0.15869131684303284
106|0.15849311649799347|0.1583038717508316
107|0.15811730921268463|0.1579188108444214
108|0.15773294866085052|0.1575370579957962
109|0.15733960270881653|0.1571567952632904
110|0.15697145462036133|0.15677745640277863
111|0.15659216046333313|0.15639899671077728
