episode|worker_id|eplen|score|ts
0|1|20|20.0|2024-05-09 11:46:22.013944
1|1|11|11.0|2024-05-09 11:46:22.223475
2|0|37|37.0|2024-05-09 11:46:22.339247
3|0|13|13.0|2024-05-09 11:46:22.592333
4|1|33|33.0|2024-05-09 11:46:22.866479
5|0|28|28.0|2024-05-09 11:46:23.141296
6|1|15|15.0|2024-05-09 11:46:23.162376
7|0|13|13.0|2024-05-09 11:46:23.390945
8|1|21|21.0|2024-05-09 11:46:23.554407
9|0|27|27.0|2024-05-09 11:46:23.876405
10|1|19|19.0|2024-05-09 11:46:23.895404
11|0|10|10.0|2024-05-09 11:46:24.056979
12|1|16|16.0|2024-05-09 11:46:24.183122
13|0|28|28.0|2024-05-09 11:46:24.570045
14|0|13|13.0|2024-05-09 11:46:24.802447
15|1|40|40.0|2024-05-09 11:46:24.910173
16|1|14|14.0|2024-05-09 11:46:25.171991
17|0|25|25.0|2024-05-09 11:46:25.263878
18|1|23|23.0|2024-05-09 11:46:25.587311
19|0|26|26.0|2024-05-09 11:46:25.731744
20|0|15|15.0|2024-05-09 11:46:26.000280
21|1|46|46.0|2024-05-09 11:46:52.278331
22|0|31|31.0|2024-05-09 11:46:52.443281
23|1|17|17.0|2024-05-09 11:46:52.628408
24|1|13|13.0|2024-05-09 11:46:52.894412
25|0|23|23.0|2024-05-09 11:46:52.914965
26|1|9|9.0|2024-05-09 11:46:53.079122
27|0|23|23.0|2024-05-09 11:46:53.378830
28|1|15|15.0|2024-05-09 11:46:53.379675
29|0|19|19.0|2024-05-09 11:46:53.755981
30|1|29|29.0|2024-05-09 11:46:53.959552
31|0|22|22.0|2024-05-09 11:46:54.199152
32|1|18|18.0|2024-05-09 11:46:54.320491
33|0|23|23.0|2024-05-09 11:46:54.646002
34|0|13|13.0|2024-05-09 11:46:54.897093
35|1|37|37.0|2024-05-09 11:46:55.031889
36|0|20|20.0|2024-05-09 11:46:55.279225
37|1|27|27.0|2024-05-09 11:46:55.547573
38|0|19|19.0|2024-05-09 11:46:55.646484
39|1|16|16.0|2024-05-09 11:46:55.857805
40|1|25|25.0|2024-05-09 11:46:56.324571
41|0|37|37.0|2024-05-09 11:46:56.347392
42|0|12|12.0|2024-05-09 11:46:56.566256
43|1|13|13.0|2024-05-09 11:46:56.567114
44|1|19|19.0|2024-05-09 11:46:56.949624
45|0|21|21.0|2024-05-09 11:46:56.996477
46|1|14|14.0|2024-05-09 11:47:22.750877
47|0|14|14.0|2024-05-09 11:47:22.789620
48|0|12|12.0|2024-05-09 11:47:23.016531
49|1|20|20.0|2024-05-09 11:47:23.133056
50|0|13|13.0|2024-05-09 11:47:23.267343
51|0|20|20.0|2024-05-09 11:47:23.650025
52|1|27|27.0|2024-05-09 11:47:23.650855
53|1|20|20.0|2024-05-09 11:47:24.034142
