episode|worker_id|eplen|score|ts
0|1|14|14.0|2024-05-14 11:09:33.698016
1|0|17|17.0|2024-05-14 11:09:33.762070
2|0|14|14.0|2024-05-14 11:09:34.057153
3|1|20|20.0|2024-05-14 11:09:34.123293
4|0|17|17.0|2024-05-14 11:09:34.416573
5|1|18|18.0|2024-05-14 11:09:34.497696
6|1|26|26.0|2024-05-14 11:09:35.034560
7|0|39|39.0|2024-05-14 11:09:35.225546
8|1|13|13.0|2024-05-14 11:09:35.307460
9|1|17|17.0|2024-05-14 11:09:35.665816
10|0|29|29.0|2024-05-14 11:09:35.831293
11|0|15|15.0|2024-05-14 11:09:36.145365
12|1|31|31.0|2024-05-14 11:09:36.310203
13|1|15|15.0|2024-05-14 11:09:36.623636
14|0|31|31.0|2024-05-14 11:09:36.793365
15|0|10|10.0|2024-05-14 11:09:36.989283
16|0|12|12.0|2024-05-14 11:09:37.223478
17|1|35|35.0|2024-05-14 11:09:37.320485
18|0|30|30.0|2024-05-14 11:09:37.803948
19|0|21|21.0|2024-05-14 11:09:38.207840
20|1|53|53.0|2024-05-14 11:09:38.345124
21|1|25|25.0|2024-05-14 11:10:05.907797
22|0|33|33.0|2024-05-14 11:10:05.927808
23|1|15|15.0|2024-05-14 11:10:06.202531
24|0|16|16.0|2024-05-14 11:10:06.242329
25|0|17|17.0|2024-05-14 11:10:06.572942
26|1|21|21.0|2024-05-14 11:10:06.612564
27|0|10|10.0|2024-05-14 11:10:06.765413
28|1|19|19.0|2024-05-14 11:10:06.976371
29|1|8|8.0|2024-05-14 11:10:07.133039
30|1|19|19.0|2024-05-14 11:10:07.508976
31|1|12|12.0|2024-05-14 11:10:07.743446
32|0|55|55.0|2024-05-14 11:10:07.841244
33|1|21|21.0|2024-05-14 11:10:08.149948
34|0|25|25.0|2024-05-14 11:10:08.323007
35|1|17|17.0|2024-05-14 11:10:08.473282
36|0|25|25.0|2024-05-14 11:10:08.803228
37|1|22|22.0|2024-05-14 11:10:08.899470
38|0|12|12.0|2024-05-14 11:10:09.030666
39|0|16|16.0|2024-05-14 11:10:09.336790
40|1|33|33.0|2024-05-14 11:10:09.525431
41|0|15|15.0|2024-05-14 11:10:09.623230
42|0|71|71.0|2024-05-14 11:10:37.054194
43|0|12|12.0|2024-05-14 11:10:37.290810
44|0|13|13.0|2024-05-14 11:10:37.541633
45|0|17|17.0|2024-05-14 11:10:37.883125
46|1|124|124.0|2024-05-14 11:10:37.996360
47|0|11|11.0|2024-05-14 11:10:38.091929
48|0|43|43.0|2024-05-14 11:10:38.948146
49|1|48|48.0|2024-05-14 11:10:38.949063
50|0|15|15.0|2024-05-14 11:10:39.245265
51|0|20|20.0|2024-05-14 11:10:39.634810
52|1|36|36.0|2024-05-14 11:10:39.655469
53|1|13|13.0|2024-05-14 11:10:39.913008
54|0|16|16.0|2024-05-14 11:10:39.954664
55|0|14|14.0|2024-05-14 11:10:40.225462
56|1|22|22.0|2024-05-14 11:10:40.342401
57|0|13|13.0|2024-05-14 11:10:40.477288
58|1|21|21.0|2024-05-14 11:10:40.745056
59|0|15|15.0|2024-05-14 11:10:40.768379
60|1|12|12.0|2024-05-14 11:10:40.977838
61|0|23|23.0|2024-05-14 11:10:41.203848
62|1|23|23.0|2024-05-14 11:11:07.467693
63|0|23|23.0|2024-05-14 11:11:07.702643
64|1|34|34.0|2024-05-14 11:11:08.127373
65|0|46|46.0|2024-05-14 11:11:08.594135
66|1|33|33.0|2024-05-14 11:11:08.770444
67|0|17|17.0|2024-05-14 11:11:08.923467
68|0|11|11.0|2024-05-14 11:11:09.137339
69|1|25|25.0|2024-05-14 11:11:09.255466
70|0|18|18.0|2024-05-14 11:11:09.489564
71|0|14|14.0|2024-05-14 11:11:09.767598
72|1|32|32.0|2024-05-14 11:11:09.888958
73|0|19|19.0|2024-05-14 11:11:10.175512
74|1|17|17.0|2024-05-14 11:11:10.262902
75|1|38|38.0|2024-05-14 11:11:11.057079
76|0|52|52.0|2024-05-14 11:11:11.260110
77|1|18|18.0|2024-05-14 11:11:11.419560
78|0|15|15.0|2024-05-14 11:11:11.555859
79|1|14|14.0|2024-05-14 11:11:11.689502
80|0|11|11.0|2024-05-14 11:11:11.764247
81|0|16|16.0|2024-05-14 11:11:12.063862
82|0|16|16.0|2024-05-14 11:11:12.366182
83|1|36|36.0|2024-05-14 11:11:12.367010
84|1|16|16.0|2024-05-14 11:11:38.705662
